date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:44:59	170791/170791	---M--	200	added ('OK')	text/html	etag:%22e389c10bb32db153728836ab14ba2067%22	http://www.themenate.net/elstar-html/modern-project-dashboard.html	C:/My%20Web%20Sites/admin_borad/www.themenate.net/elstar-html/modern-project-dashboard.html	(from )
17:45:01	127/127	---M--	404	error ('Not%20Found')	application/xml	date:Thu,%2002%20Nov%202023%2010:44:58%20GMT	http://www.themenate.net/robots.txt		(from )
17:45:01	4286/4286	---M--	200	added ('OK')	image/x-icon	etag:%22401119a20a27a1dd3c536c54a0c48387%22	http://www.themenate.net/elstar-html/img/favicon.ico	C:/My%20Web%20Sites/admin_borad/www.themenate.net/elstar-html/img/favicon.ico	(from http://www.themenate.net/elstar-html/modern-project-dashboard.html)
17:45:03	241247/241247	---M--	200	added ('OK')	text/css	etag:%22855db0eb9f852cae1c63c84834ab1d3e%22	http://www.themenate.net/elstar-html/css/style.css	C:/My%20Web%20Sites/admin_borad/www.themenate.net/elstar-html/css/style.css	(from http://www.themenate.net/elstar-html/modern-project-dashboard.html)
17:45:05	5146/5146	---M--	200	added ('OK')	image/png	etag:%22ca65eb4a7569a36ed92a915c5d268ffe%22	http://www.themenate.net/elstar-html/img/logo/logo-light-full.png	C:/My%20Web%20Sites/admin_borad/www.themenate.net/elstar-html/img/logo/logo-light-full.png	(from http://www.themenate.net/elstar-html/modern-project-dashboard.html)
17:45:08	148879/148879	---M--	200	added ('OK')	text/html	etag:%2289324b0e613490efd027765dee8f3d8c%22	http://www.themenate.net/elstar-html/modern-project-list.html	C:/My%20Web%20Sites/admin_borad/www.themenate.net/elstar-html/modern-project-list.html	(from http://www.themenate.net/elstar-html/modern-project-dashboard.html)
17:45:09	196096/196096	---M--	200	added ('OK')	text/html	etag:%22ad4d740588a88a3f24a8eb47f574ef0c%22	http://www.themenate.net/elstar-html/modern-scrum-board.html	C:/My%20Web%20Sites/admin_borad/www.themenate.net/elstar-html/modern-scrum-board.html	(from http://www.themenate.net/elstar-html/modern-project-dashboard.html)
17:45:11	128368/128368	---M--	200	added ('OK')	text/html	etag:%2284b8100b27ce0eac755985ed558c8404%22	http://www.themenate.net/elstar-html/modern-issue.html	C:/My%20Web%20Sites/admin_borad/www.themenate.net/elstar-html/modern-issue.html	(from http://www.themenate.net/elstar-html/modern-project-dashboard.html)
17:45:13	134884/134884	---M--	200	added ('OK')	text/html	etag:%2208537c8198e1f60f90414491f8449f06%22	http://www.themenate.net/elstar-html/modern-crm-dashboard.html	C:/My%20Web%20Sites/admin_borad/www.themenate.net/elstar-html/modern-crm-dashboard.html	(from http://www.themenate.net/elstar-html/modern-project-dashboard.html)
17:45:15	101615/101615	---M--	200	added ('OK')	text/html	etag:%22b010d7cfb133b41086f05fe470bd060c%22	http://www.themenate.net/elstar-html/modern-calendar.html	C:/My%20Web%20Sites/admin_borad/www.themenate.net/elstar-html/modern-calendar.html	(from http://www.themenate.net/elstar-html/modern-project-dashboard.html)
